# participants version:{'Mass-Left': {'url': 'BenjaminRodenberg/waveform-iteration-paper', 'repo': 'refs/pull/1/merge', 'chash': '3a30510dc829e16bf43d09ff4e8a6861eb5796a4'}, 'Mass-Right': {'url': 'BenjaminRodenberg/waveform-iteration-paper', 'repo': 'refs/pull/1/merge', 'chash': '3a30510dc829e16bf43d09ff4e8a6861eb5796a4'}}
# participants:{'Mass-Left': <prepesthel.participant.Participant object at 0x7f36f493ac90>, 'Mass-Right': <prepesthel.participant.Participant object at 0x7f36f66b2090>}
# run cmd:python3 doConvergenceStudy.py precice-config-fQN.xml.jinja2 --silent --executor Github --config configs/tab1_dts.csv -tss runge_kutta_4 generalized_alpha -wd 3 --exchange-substeps -o results/Tab1/data/fQN.csv
# args:Namespace(template_path='precice-config-fQN.xml.jinja2', config='configs/tab1_dts.csv', silent=True, executor='Github', max_time=1.0, base_time_window_size=0.04, time_window_refinements=5, base_time_step_refinement=[1, 1], time_step_refinements=1, time_step_refinement_factor=[2, 2], time_stepping_scheme=['runge_kutta_4', 'generalized_alpha'], waveform_degree=3, exchange_substeps=True, out_filename='results/Tab1/data/fQN.csv')
# precice.get_version_information():b'3.3.0;no-info [git failed to run];PRECICE_FEATURE_MPI_COMMUNICATION=Y;PRECICE_FEATURE_PETSC_MAPPING=Y;PRECICE_FEATURE_GINKGO_MAPPING=N;PRECICE_FEATURE_PYTHON_ACTIONS=Y;PRECICE_BINDINGS_C=Y;PRECICE_BINDINGS_FORTRAN=Y;CXX=GNU;CXXFLAGS= -O3 -DNDEBUG;LDFLAGS='
# precice.__version__:3.3.1
# precice_config_params:{'time_window_size': 0.2, 'max_time': 1.0, 'waveform_degree': 3, 'substeps': True}
time window size,time step size Mass-Left,time step size Mass-Right,error Mass-Left,error Mass-Right
0.005,0.0050000000000000044,0.00019999999999998448,0.0007804368007245,0.0007463369807518
0.01,0.0050000000000000044,0.00019999999999998448,5.780697870827467e-06,4.932017933237387e-06
0.02,0.0050000000000000044,0.00019999999999998448,3.93881711219235e-06,3.5522855354186422e-06
0.05,0.0050000000000000044,0.00019999999999998448,4.2660792163862205e-06,3.7976817059554016e-06
0.1,0.0050000000000000044,0.00019999999999998448,4.38777412808955e-06,3.888773722884875e-06
0.2,0.0050000000000000044,0.00019999999999998448,4.44830878554292e-06,3.926854301117277e-06
